Event Time (UTC),GPS Time (UTC),Horizontal Accuracy,Latitude,Longitude,Speed (GPS),City,Cellular Carrier,Carrier MCC,Carrier MNC,Google Play Services Status,Device ID,IP Address,Device Language,Device Model,Device OS,Device OS Version,Region,Session Start Time (UTC),Analytics Event Type
2026-02-06 05:05:32.874,2026-02-06 05:05:24.529,108.195014,40.78202489296736,-111.99002463002383,-1.0,salt_lake_city,,,,,02F8BF90-F943-4C67-9997-0DF8E12BD310,,en_US,"iPhone18,2",ios,26.1,US,2026-02-06 05:05:26.324,custom
2026-02-06 05:05:32.785,2026-02-06 05:05:24.529,108.195014,40.78202489296736,-111.99002463002383,-1.0,salt_lake_city,,,,,02F8BF90-F943-4C67-9997-0DF8E12BD310,,en_US,"iPhone18,2",ios,26.1,US,2026-02-06 05:05:26.324,custom
2026-02-06 05:05:32.868,2026-02-06 05:05:24.529,108.195014,40.78202489296736,-111.99002463002383,-1.0,salt_lake_city,,,,,02F8BF90-F943-4C67-9997-0DF8E12BD310,,en_US,"iPhone18,2",ios,26.1,US,2026-02-06 05:05:26.324,custom
2026-02-06 05:05:33.211,2026-02-06 05:05:24.529,108.195014,40.78202489296736,-111.99002463002383,-1.0,salt_lake_city,,,,,02F8BF90-F943-4C67-9997-0DF8E12BD310,,en_US,"iPhone18,2",ios,26.1,US,2026-02-06 05:05:26.324,impression
2026-02-06 05:05:33.221,2026-02-06 05:05:24.529,108.195014,40.78202489296736,-111.99002463002383,-1.0,salt_lake_city,,,,,02F8BF90-F943-4C67-9997-0DF8E12BD310,,en_US,"iPhone18,2",ios,26.1,US,2026-02-06 05:05:26.324,impression
2026-02-06 05:05:34.578,2026-02-06 05:05:24.529,108.195014,40.78202489296736,-111.99002463002383,-1.0,salt_lake_city,,,,,02F8BF90-F943-4C67-9997-0DF8E12BD310,,en_US,"iPhone18,2",ios,26.1,US,2026-02-06 05:05:26.324,custom
2026-02-06 05:05:35.713,2026-02-06 05:05:24.529,108.195014,40.78202489296736,-111.99002463002383,-1.0,salt_lake_city,,,,,02F8BF90-F943-4C67-9997-0DF8E12BD310,,en_US,"iPhone18,2",ios,26.1,US,2026-02-06 05:05:26.324,custom
2026-02-06 05:05:35.722,2026-02-06 05:05:24.529,108.195014,40.78202489296736,-111.99002463002383,-1.0,salt_lake_city,,,,,02F8BF90-F943-4C67-9997-0DF8E12BD310,,en_US,"iPhone18,2",ios,26.1,US,2026-02-06 05:05:26.324,impression
2026-02-06 05:05:36.143,2026-02-06 05:05:24.529,108.195014,40.78202489296736,-111.99002463002383,-1.0,salt_lake_city,,,,,02F8BF90-F943-4C67-9997-0DF8E12BD310,,en_US,"iPhone18,2",ios,26.1,US,2026-02-06 05:05:26.324,custom
2026-02-06 05:05:36.272,2026-02-06 05:05:24.529,108.195014,40.78202489296736,-111.99002463002383,-1.0,salt_lake_city,,,,,02F8BF90-F943-4C67-9997-0DF8E12BD310,,en_US,"iPhone18,2",ios,26.1,US,2026-02-06 05:05:26.324,custom
